"","local_date","local_time","site","sl","GRSH_fd","GRSH_fl","GRSH_si","GRSH_co","HUWH_fd","HUWH_sw","HUWH_ot","HUWH_co"
"191","5/18/2016","8:59","N9","0",0,0,0,0,0,0,0,0
"192","5/18/2016","9:34","N10","0",0,0,0,0,0,0,0,0
"193","5/18/2016","9:56","N11","0",0,0,0,0,0,0,0,0
"194","5/18/2016","10:26","N12","0",0,0,0,0,0,0,0,0
"195","5/18/2016","10:52","N13","1",0,0,0,0,0,0,0,0
"196","5/18/2016","11:14","N14","1",0,0,0,0,0,0,0,0
"197","5/18/2016","11:34","N15","0",0,0,0,0,0,0,0,0
"198","5/18/2016","11:54","N16","0",0,0,0,0,0,0,0,0
"199","5/18/2016","12:18","N1","0",0,0,0,0,0,0,0,0
"200","5/18/2016","12:53","N3","0",0,0,0,0,0,0,0,0
"201","5/18/2016","13:25","N4","2",0,0,0,0,0,0,0,0
"202","5/18/2016","14:00","N5","0",0,0,0,0,0,0,0,0
"203","5/18/2016","14:33","N6","nd",0,0,0,0,0,0,0,0
"204","5/18/2016","16:09","C2","0",0,0,0,0,0,0,0,0
"205","5/18/2016","14:58","N7","nd",0,0,0,0,0,0,0,0
"206","5/18/2016","15:13","N8","0",0,0,0,0,0,0,0,0
"207","5/18/2016","15:51","C1","0",0,0,0,0,0,0,0,0
"208","5/18/2016","16:28","C3","0",0,0,0,0,0,0,0,0
"209","5/18/2016","16:47","C4","0",0,0,0,0,0,0,0,0
"210","5/19/2016","8:36","C14","0",0,0,0,0,0,0,0,0
"211","5/19/2016","9:11","C13","0",0,0,0,0,0,0,0,0
"212","5/19/2016","9:32","C12","0",0,0,0,0,0,0,0,0
"213","5/19/2016","9:56","C11","0",0,0,0,0,0,0,0,0
"214","5/20/2016","10:03","S14","0",0,0,0,0,0,0,0,0
"215","5/19/2016","10:17","C10","0",0,0,0,0,0,0,0,0
"216","5/20/2016","10:48","S13","1",0,0,0,0,0,0,0,0
"217","5/19/2016","10:37","C5","1",0,0,0,0,0,0,0,0
"218","5/19/2016","11:01","C6","0",0,0,0,0,0,0,0,0
